date	sec	swe	alb
2004-10-27	0.00	0.00	0.88
2004-10-28	0.00	0.00	0.88
2004-10-29	0.00	0.00	0.88
2004-10-30	0.00	0.00	0.88
2004-10-31	0.00	0.00	0.88
2004-11-01	0.00	0.00	0.88
2004-11-02	0.00	0.00	0.88
2004-11-03	0.00	0.00	0.88
2004-11-04	0.00	0.00	0.88
2004-11-05	0.00	0.00	0.88
2004-11-06	-399.68	0.02	0.88
2004-11-07	-708.29	0.04	0.88
2004-11-08	-1197.21	0.05	0.88
2004-11-09	-1669.24	0.08	0.88
2004-11-10	-1779.71	0.08	0.88
2004-11-11	-143.34	0.08	0.88
2004-11-12	1152.60	0.09	0.85
2004-11-13	-1279.21	0.10	0.87
2004-11-14	-2200.80	0.10	0.86
2004-11-15	-1837.10	0.10	0.86
2004-11-16	-259.86	0.13	0.87
2004-11-17	6393.96	0.14	0.84
2004-11-18	10759.60	0.14	0.82
2004-11-19	-1720.63	0.16	0.86
2004-11-20	-3839.17	0.18	0.87
2004-11-21	-3714.74	0.19	0.88
2004-11-22	-745.92	0.20	0.88
2004-11-23	-1073.24	0.22	0.88
2004-11-24	-6225.00	0.22	0.87
2004-11-25	-8451.51	0.22	0.85
2004-11-26	-5221.20	0.22	0.86
2004-11-27	-1055.34	0.23	0.87
2004-11-28	-767.13	0.23	0.87
2004-11-29	-621.99	0.23	0.86
2004-11-30	-1479.59	0.23	0.85
2004-12-01	-859.40	0.24	0.86
2004-12-02	-1467.86	0.24	0.87
2004-12-03	-2843.82	0.24	0.87
2004-12-04	-7055.91	0.24	0.85
2004-12-05	-6655.13	0.24	0.86
2004-12-06	-2460.66	0.24	0.84
2004-12-07	-5035.83	0.24	0.82
2004-12-08	-5436.71	0.24	0.81
2004-12-09	-9324.81	0.24	0.78
2004-12-10	-7000.19	0.24	0.76
2004-12-11	-7937.10	0.24	0.74
2004-12-12	-8878.25	0.24	0.72
2004-12-13	-9079.03	0.24	0.71
2004-12-14	-9020.05	0.24	0.69
2004-12-15	-6867.74	0.24	0.68
2004-12-16	-5798.16	0.24	0.70
2004-12-17	-2608.13	0.26	0.82
2004-12-18	-3457.36	0.28	0.86
2004-12-19	-4775.97	0.28	0.87
2004-12-20	-9229.87	0.28	0.85
2004-12-21	-10817.70	0.28	0.84
2004-12-22	-8101.51	0.28	0.85
2004-12-23	-2352.93	0.29	0.87
2004-12-24	-82.92	0.30	0.87
